Lattitude,Longitude,SubStation_Name,Capacity
26.2046191,89.7850166,AGOMANI S/S,15
26.0559091,89.794202,RUSTOM S/S,7.5
26.1546252,89.8353093,BISHONDOI S/S,5
26.1055621,89.852953,BALAJAN S/S,5
25.55844454,89.87694444,Jordanga S/S,5
25.6830001,89.893,Sonapur S/S,10
26.3674111,89.898262,MORNOI/ HATIDURA S/S,5
26.0887288,89.9613373,GOURIPUR S/S,15
26.0326696,89.968884,DHUBRI I S/S,15
26.0207001,89.97435,DHUBRI-II S/S,10
26.4713034,90.0100719,JOYMA S/S,10
26.5729341,90.068582,KACHUGAON S/S,5
26.3290141,90.119255,SAPATGRAM S/S,10
26.2013931,90.129286,MAHAMAYA S/S,5
26.5454921,90.145264,SERFANGURI S/S,10
26.3721691,90.177299,FAKIRAGRAM S/S,10
26.02236121,90.20344444,NidanPur S/S,10
25.96586121,90.20344444,Simlabari S/S,5
26.2509731,90.239932,GOPIGAON S/S,13.16
26.3963321,90.260345,KOKRAJHAR S/S,18.16
26.2154252,90.3265546,SALKOCHA S/S,10
26.4393041,90.35831,SALAKATI S/S,5
26.54941677,90.36711111,Samthaibari S/S,10
26.3354251,90.406576,CHOIBARI S/S,10
26.4672971,90.416138,BASUGAON S/S,5.65
26.7351668,90.4404167,Deosri S/S,10
26.2930191,90.44754,CHAPAR S/S,10
26.6345001,90.478,Bengtol S/S,7.5
26.52911121,90.49375,Kajalgaon S/S,5
26.15658343,90.51966667,Chutki S/S,2.5
26.50758343,90.54275,Chapaguri S/S,15
26.48327788,90.54358333,Dolaigaon S/S,10
26.08069454,90.54897222,Balijana S/S,8.15
26.46963899,90.58902778,Birjhora S/S,10
26.26283343,90.58972222,Chalantapara S/S,5
26.37033343,90.60477778,North Salmara S/S,10
26.14347232,90.61069444,Bhalukdubi S/S,20
26.5790211,90.642876,Pachalabari S/S,10
26.03255566,90.66022222,Krishnai S/S,5
26.33586121,90.66311111,Abhayapuri S/S,15
26.49272232,90.70213889,Bijni S/S,10
26.09411121,90.73944444,Mornoi S/S,5
25.94722232,90.77486111,Damra S/S,8.15
26.4694491,90.798547,Manikpur S/S,10
26.4181611,90.872079,Kharisala S/S,10
26.4845501,90.881866,Sorbhog S/S,10
25.97208343,90.93372222,Rangjuli S/S,3.15
26.2740385,90.9477425,Mondia S/S,7.5
26.4917961,90.966283,Barpeta Road S/S,20
26.4255001,90.976838,Howly S/S,13.15
26.3138494,91.004328,Bhakatpara S/S,20
25.96311121,91.05519444,Dhupdhara S/S,5
26.4905701,91.067729,Sarupeta S/S,7.5
26.0408271,91.0934528,Hekera S/S,10
26.5002081,91.147459,Pathsala S/S,20
26.2840741,91.156128,Chenga S/S,5.65
26.6000571,91.1677065,Baghmara S/S,5
26.0677991,91.168608,Chamaria S/S,7.5
26.3720471,91.204117,Nasatra S/S,10
25.9782431,91.22628,Boko S/S,10
26.4827631,91.235814,Bhaluki S/S,10
26.0278191,91.268756,Chattabari S/S,15
26.5076551,91.286158,Tihu S/S,15
26.0100771,91.296033,Bamunigaon S/S,7.5
26.4010301,91.3208,Chamata S/S,10
26.4386901,91.33482,Kaithalkuchi S/S,10
26.6959911,91.351764,Narayanpur S/S,7.5
26.2823901,91.35255,Mukalmua S/S,7.5
26.0395685,91.3529984,Gobardhan S/S,7.5
26.5118836,91.363435,BARJAR S/S,7.5
26.4726201,91.43263,Sariahtali S/S,5
26.4461801,91.4447,Nalbari S/S,20
26.4427001,91.45513,Poila S/S,10
26.3345501,91.46504,Kamarkuchi S/S,7.5
26.5636501,91.47428,Dhamdhama S/S,8.15
25.9577762,91.4784638,Loharghat S/S,5
26.1037611,91.507955,Bijoynagar S/S,10
26.4480201,91.51665,Ghograpar S/S,10
26.0901111,91.530328,Mirza S/S,20
26.2379161,91.537903,Hajo S/S,15
26.1155021,91.539817,Polashbari S/S,10
26.7313701,91.54338,Kumarikata S/S,10
26.1712001,91.564035,Suwalkuchi S/S,10
26.6035401,91.58751,Tamulpur SS,10
26.4638501,91.58814,Jamtola S/S,5
26.0417001,91.589987,Rani S/S,7.5
26.1016379,91.6013411,Azara S/S,10
26.3516301,91.60319,Dimu S/S,5
26.1295891,91.625303,Larica Sub-Station,5
26.4511701,91.63914,New Chirakhundi S/S,10
26.3858401,91.63928,Moranjana S/S,5
26.4517501,91.64031,Old Chirakhundi S/S,5
26.1580987,91.6586781,Adabari S/S,15
26.1839151,91.666747,Amingaon S/S,20
26.1546271,91.675636,Jalukbari S/S,28
26.1870891,91.678845,EPIP Sub-Station,12.5
26.3490401,91.67967,Kamalpur S/S,10
26.1100541,91.683925,Boragaon S/S,5
26.3202301,91.69048,Borka S/S,10
26.2044511,91.697461,North Ghy S/S,20
